,sample_id,construction_site,image_blob_id,date_time,annotation_people_blob_id,annotation_poly_blob_id,annotation_blob_id,poly_objects,dis_people,dis_rebar,dis_formwork,dis_pump,timestep,Site1formwork,Site1rebars,Site1pump,Site1people,Site2formwork,Site2rebars,Site2pump,Site2people,if_Site1_concret,if_Site2_concret
10,2020-08-06-07-07-55,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-07-55.jpg,2020-08-06 07:07:55,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-07-55.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-07-55.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 5]","[0, 0, 0]",2020-08-06 07:07:55,1,0,0,0,5,1,0,0,0,0
11,2020-08-06-07-08-42,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-08-42.jpg,2020-08-06 07:08:42,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-08-42.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-08-42.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:08:42,1,0,0,0,4,1,0,0,0,0
12,2020-08-06-07-09-28,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-09-28.jpg,2020-08-06 07:09:28,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-09-28.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-09-28.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:09:28,1,0,0,0,4,1,0,0,0,0
13,2020-08-06-07-10-15,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-10-15.jpg,2020-08-06 07:10:15,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-10-15.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-10-15.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:10:15,1,0,0,0,4,1,0,0,0,0
14,2020-08-06-07-11-01,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-11-01.jpg,2020-08-06 07:11:01,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-11-01.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-11-01.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:11:01,1,0,0,0,4,1,0,0,0,0
15,2020-08-06-07-11-48,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-11-48.jpg,2020-08-06 07:11:48,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-11-48.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-11-48.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:11:48,1,0,0,0,4,1,0,0,0,0
16,2020-08-06-07-12-34,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-12-34.jpg,2020-08-06 07:12:34,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-12-34.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-12-34.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:12:34,1,0,0,0,4,1,0,0,0,0
17,2020-08-06-07-13-21,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-13-21.jpg,2020-08-06 07:13:21,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-13-21.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-13-21.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:13:21,1,0,0,0,4,1,0,0,0,0
18,2020-08-06-07-14-07,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-14-07.jpg,2020-08-06 07:14:07,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-14-07.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-14-07.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:14:07,1,0,0,0,4,1,0,0,0,0
19,2020-08-06-07-14-54,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-14-54.jpg,2020-08-06 07:14:54,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-14-54.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-14-54.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:14:54,1,0,0,0,4,1,0,0,0,0
20,2020-08-06-07-15-40,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-15-40.jpg,2020-08-06 07:15:40,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-15-40.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-15-40.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:15:40,1,0,0,0,4,1,0,0,0,0
21,2020-08-06-07-16-27,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-16-27.jpg,2020-08-06 07:16:27,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-16-27.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-16-27.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:16:27,1,0,0,0,4,1,0,0,0,0
22,2020-08-06-07-17-13,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-17-13.jpg,2020-08-06 07:17:13,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-17-13.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-17-13.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:17:13,1,0,0,0,4,1,0,0,0,0
23,2020-08-06-07-17-59,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-17-59.jpg,2020-08-06 07:17:59,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-17-59.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-17-59.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:17:59,1,0,0,0,4,1,0,0,0,0
24,2020-08-06-07-18-46,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-18-46.jpg,2020-08-06 07:18:46,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-18-46.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-18-46.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 2]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:18:46,1,0,0,0,4,2,0,0,0,0
25,2020-08-06-07-19-32,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-19-32.jpg,2020-08-06 07:19:32,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-19-32.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-19-32.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:19:32,1,0,0,0,4,1,0,0,0,0
26,2020-08-06-07-20-19,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-20-19.jpg,2020-08-06 07:20:19,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-20-19.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-20-19.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:20:19,1,0,0,0,4,1,0,0,0,0
27,2020-08-06-07-21-05,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-21-05.jpg,2020-08-06 07:21:05,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-21-05.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-21-05.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:21:05,1,0,0,0,4,1,0,0,0,0
28,2020-08-06-07-21-52,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-21-52.jpg,2020-08-06 07:21:52,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-21-52.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-21-52.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 2]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:21:52,2,0,0,0,4,2,0,0,0,0
29,2020-08-06-07-22-38,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-22-38.jpg,2020-08-06 07:22:38,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-22-38.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-22-38.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 2]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:22:38,2,0,0,0,4,2,0,0,0,0
30,2020-08-06-07-23-25,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-23-25.jpg,2020-08-06 07:23:25,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-23-25.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-23-25.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars']","[0, 0, 0]","[0, 0, 2]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:23:25,2,0,0,0,4,2,0,0,0,0
31,2020-08-06-07-24-11,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-24-11.jpg,2020-08-06 07:24:11,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-24-11.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-24-11.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 2]","[1, 1, 5]","[0, 0, 0]",2020-08-06 07:24:11,2,0,0,0,5,2,0,0,0,0
32,2020-08-06-07-24-58,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-24-58.jpg,2020-08-06 07:24:58,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-24-58.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-24-58.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 5]","[0, 0, 0]",2020-08-06 07:24:58,1,0,0,0,5,1,0,0,0,0
33,2020-08-06-07-25-44,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-25-44.jpg,2020-08-06 07:25:44,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-25-44.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-25-44.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 5]","[0, 0, 0]",2020-08-06 07:25:44,1,0,0,0,5,1,0,0,0,0
34,2020-08-06-07-26-31,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-26-31.jpg,2020-08-06 07:26:31,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-26-31.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-26-31.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:26:31,1,0,0,0,4,1,0,0,0,0
35,2020-08-06-07-27-17,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-27-17.jpg,2020-08-06 07:27:17,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-27-17.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-27-17.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:27:17,1,0,0,0,4,1,0,0,0,0
36,2020-08-06-07-28-04,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-28-04.jpg,2020-08-06 07:28:04,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-28-04.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-28-04.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:28:04,2,0,0,0,4,1,0,0,0,0
37,2020-08-06-07-28-50,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-28-50.jpg,2020-08-06 07:28:50,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-28-50.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-28-50.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:28:50,2,0,0,0,4,1,0,0,0,0
38,2020-08-06-07-29-37,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-29-37.jpg,2020-08-06 07:29:37,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-29-37.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-29-37.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[1, 1, 4]","[0, 0, 0]",2020-08-06 07:29:37,2,0,0,0,4,1,0,0,0,0
39,2020-08-06-07-30-23,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-30-23.jpg,2020-08-06 07:30:23,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-30-23.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-30-23.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:30:23,1,0,0,0,4,1,0,0,0,0
40,2020-08-06-07-31-10,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-31-10.jpg,2020-08-06 07:31:10,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-31-10.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-31-10.jpg.json,,"['Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Rebars', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 2]","[0, 1, 5]","[0, 0, 0]",2020-08-06 07:31:10,1,0,0,0,5,2,0,0,0,0
